url,toc_title,title,display_title,description,summary,updated_at,ms_topic,sub_skill_type,confidence,has_expert_knowledge,classification_reason,change_type
https://learn.microsoft.com/en-us/azure/virtual-network-manager/concept-security-admins,Security admin rule overview,Security admin rules in Azure Virtual Network Manager,Understand and configure AVNM security admin rules,"Learn about what security admin rules in Azure Virtual Network Manager, how they work, and how traffic rules are evaluated. This includes non-application of security admin rules and exceptions.","In this article, you learn about security admin rules in Azure Virtual Network Manager. Use security admin rules to define global network security rules that apply to all virtual networks within anetwork group. You learn about what security admin rules are, how they work, and when to use them.",2026-01-13T23:18:00.000Z,concept-article,security,0.7,True,"Security admin rules are a product-specific security feature; article explains how they work and traffic evaluation, likely including rule structure and precedence details.",new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/concept-use-cases,Common use cases for Azure Virtual Network Manager,Common use cases for Azure Virtual Network Manager,,This article covers common use cases for customers who use Azure Virtual Network Manager.,"Learn about use cases for Azure Virtual Network Manager, including managing the connectivity of virtual networks, helping to secure network traffic, and routing traffic among your network resources.",2025-07-15T05:13:00.000Z,overview,,0.2,False,"Use-case discussion; no specific numeric thresholds, configuration tables, or troubleshooting mappings.",new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/concept-user-defined-route,User-defined routes (UDRs) management overview,Automate management of user-defined routes (UDRs) with Azure Virtual Network Manager,,Learn to automate and simplifying routing behaviors using user-defined routes management with Azure Virtual Network Manager.,"This article provides an overview of UDR management, why it's important, how it works, and common routing scenarios that you can simplify and automate using UDR management.",2026-01-09T08:00:00.000Z,overview,,0.4,False,Overview of UDR management and scenarios; conceptual description without explicit configuration parameter tables or numeric limits in the summary.,new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/concept-virtual-network-flow-logs,Monitoring security admin rules with Virtual Network Flow Logs,Monitoring security admin rules with virtual network flow logs,,This article covers using Network Watcher and Virtual Network Flow Logs to monitor traffic through security admin rules in Azure Virtual Network Manager.,Monitoring traffic is critical to understanding how your network is performing and to troubleshoot issues. Administrators can utilize virtual network flow logs to show whether traffic is flowing through or blocked on a virtual network by asecurity admin rule. Virtual network flow logs are a feature of Network Watcher. Learn more aboutvirtual network flow logsincluding usage and how to enable.,2025-01-01T18:02:00.000Z,concept-article,,0.4,False,"Conceptual monitoring article using flow logs; summary suggests high-level usage rather than detailed error codes, limits, or config parameter tables.",new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/concept-virtual-network-verifier,Virtual Network Verifier overview,What is network verifier in Azure Virtual Network Manager?,,Learn how network verifier helps you verify your network policies allow or disallow traffic between your Azure network resources.,"In Azure Virtual Network Manager, network verifier is a tool that enables you to check if your network policies allow or disallow traffic between your Azure network resources. There are several moving parts between connectivity, security, routing, and resource-specific configurations -- so how do you know that what you've set up in your Azure environment is actually achieving the reachability you desire among your network resources? Whether you're diagnosing why reachability isn't working as exp",2025-03-13T08:00:00.000Z,concept-article,,0.3,False,Conceptual 'what is network verifier' article; primarily explains purpose and scenarios without detailed configuration values or troubleshooting mappings.,new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/create-virtual-network-manager-bicep,Create Virtual Network Manager - Bicep,Quickstart: Create a mesh network topology with Azure Virtual Network Manager using Bicep,,Use this quickstart to learn how to create a mesh network topology with Virtual Network Manager by using Bicep.,"Get started with Azure Virtual Network Manager by using Bicep to manage connectivity for all your virtual networks. In this quickstart, you deploy three virtual networks and use Azure Virtual Network Manager to create a mesh network topology. Then you verify that the connectivity configuration was applied.",2025-04-09T08:00:00.000Z,quickstart,,0.35,False,"Quickstart using Bicep; single-scenario deployment, not a catalog of expert configuration options.",new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/create-virtual-network-manager-cli,Create Virtual Network Manager - CLI,Quickstart: Create a mesh network topology with Azure Virtual Network Manager via the Azure CLI,,Use this quickstart to learn how to create a mesh network topology with Virtual Network Manager by using the Azure CLI.,"Get started with Azure Virtual Network Manager by using the Azure CLI to manage connectivity for all your virtual networks. In this quickstart, you deploy three virtual networks and use Azure Virtual Network Manager to create a mesh network topology. Then you verify that the connectivity configuration was applied.",2025-01-15T08:00:00.000Z,quickstart,,0.3,False,"Quickstart using Azure CLI; focused on one example topology, not exhaustive configuration or troubleshooting content.",new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/create-virtual-network-manager-portal,Create Virtual Network Manager - Portal,Quickstart: Create a mesh network topology with Azure Virtual Network Manager - Azure portal,,Learn to a mesh virtual network topology with Azure Virtual Network Manager by using the Azure portal.,"Get started with Azure Virtual Network Manager by using the Azure portal to manage connectivity for all your virtual networks. In this quickstart, you deploy three virtual networks and use Azure Virtual Network Manager to create a mesh network topology. Then you verify the connectivity configuration was applied.",2025-07-11T08:00:00.000Z,quickstart,,0.3,False,Quickstart tutorial for creating a mesh topology via portal; primarily step-by-step guidance without comprehensive config matrices or limits.,new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/create-virtual-network-manager-powershell,Create Virtual Network Manager - PowerShell,Quickstart: Create a mesh network topology with Azure Virtual Network Manager using Azure PowerShell,,Use this quickstart to learn how to create a mesh network topology with Virtual Network Manager by using Azure PowerShell.,"Get started with Azure Virtual Network Manager by using Azure PowerShell to manage connectivity for your virtual networks. In this quickstart, you deploy three virtual networks and use Azure Virtual Network Manager to create a mesh network topology. Then you verify that the connectivity configuration was applied.",2025-01-15T08:00:00.000Z,quickstart,,0.3,False,Quickstart using PowerShell; shows basic commands but not a catalog of configuration options or limits.,new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/create-virtual-network-manager-template,Create Virtual Network Manager - ARM,Quickstart: Deploy a network topology with Azure Virtual Network Manager using Azure Resource Manager template - ARM template,,"In this article, you deploy various network topologies with Azure Virtual Network Manager using Azure Resource Manager template(ARM template).","Get started with Azure Virtual Network Manager by using Azure Resource Manager templates to manage connectivity for all your virtual networks. In this quickstart, an Azure Resource Manager template is used to deploy Azure Virtual Network Manager with different connectivity topology and network group membership types. Use deployment parameters to specify the type of configuration to deploy. AnAzure Resource Manager templateis a JavaScript Object Notation (JSON) file that defines the infrastructur",2024-10-24T17:04:00.000Z,quickstart,,0.35,False,Quickstart ARM template deployment; example-focused rather than a comprehensive configuration or limits reference.,new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/create-virtual-network-manager-terraform,Create Virtual Network Manager - Terraform,Quickstart: Create a mesh network topology with Azure Virtual Network Manager using Terraform,,"In this article, you create a mesh network topology with Azure Virtual Network Manager using Terraform","Get started with Azure Virtual Network Manager by using Terraform to provision connectivity for all your virtual networks. In this quickstart, you deploy three virtual networks and use Azure Virtual Network Manager to create a mesh network topology. Then, you verify that the connectivity configuration was applied. You can choose from a deployment with a Subscription scope or a management group scope. Learn more aboutnetwork manager scopes. Terraformenables the definition, preview, and deployment",2025-02-05T08:00:00.000Z,quickstart,,0.35,False,"Quickstart using Terraform; shows one deployment pattern, not a full configuration reference or limits table.",new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/deploy-cross-tenant-ip-address-management,Deploy cross-tenant IP address pools,Configure Cross-Tenant IPAM with Azure Virtual Network Manager,,Manage IP addresses across tenants with IPAM pools. Follow this guide to deploy and verify cross-tenant allocations.,"Important Currently, the IP address management (IPAM) feature in Azure Virtual Network Manager is generally available in all regions where Azure Virtual Network Manager is available except: Chile Central, Jio India West, Malaysia West, Qatar Central, South Africa West, and West India. For the most up-to-date information on availability of Azure Virtual Network Manager, seeAzure Virtual Network Manager regions. Managing IP addresses across multiple Azure tenants can be complex, especially in larg",2025-07-17T05:09:00.000Z,tutorial,,0.3,False,"Cross-tenant IPAM deployment guide; focused on setup and verification, not on numeric limits, decision matrices, or detailed troubleshooting mappings.",new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/deploy-ip-address-management-pools-bicep,Deploy IP address pools with Bicep,Deploy IPAM pools and static CIDRs with Azure Virtual Network Manager - Bicep,,Deploy IPAM pools and static CIDRs with Azure Virtual Network Manager using Bicep. Create non-overlapping address spaces and associate existing virtual networks in minutes.,"Azure Virtual Network Manager provides centralized IP address management (IPAM) that helps you avoid overlapping address spaces across your virtual networks. With IPAM pools, you can define large address ranges and automatically allocate non-overlapping subnets to your virtual networks. This article shows you how to use Bicep templates to: When you finish, you'll have a working IPAM configuration that you can use to manage IP address allocation across multiple virtual networks. Important Current",2025-06-25T17:56:00.000Z,quickstart,,0.3,False,"Bicep deployment example for IPAM pools; primarily template-based tutorial, not a configuration reference with parameter tables or limits.",new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/faq,FAQ,Frequently asked questions about Azure Virtual Network Manager,,Find answers to frequently asked questions about Azure Virtual Network Manager.,This article answers frequently asked questions about Azure Virtual Network Manager.,2025-07-11T08:00:00.000Z,faq,,0.4,False,"FAQ page likely mixes conceptual and minor specifics but summary does not indicate structured limits, config tables, or error-code troubleshooting; treat as non-expert for this classification.",new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/how-to-block-high-risk-ports,Protect high-risk network ports with security admin rules and exceptions,Protect high-risk network ports with Security Admin Rules in Azure Virtual Network Manager.,Protect high-risk ports with AVNM security admin rules,Learn to deploy security admin rules to protect high-risk security ports and create exceptions for management traffic with Azure Virtual Network Manager.,"In this article, you learn to block high risk network ports usingAzure Virtual Network Managerand Security Admin Rules. You walk through the creation of an Azure Virtual Network Manager instance, group your virtual networks (VNets) withnetwork groups, and create & deploy security admin configurations for your organization. You deploy a general block rule for high risk ports. Then you create an exception rule for managing a specific application's VNet using network security groups. While this art",2024-03-15T08:00:00.000Z,how-to,security,0.7,True,"Walkthrough for blocking high-risk ports and creating exceptions; combines security admin rules, network groups, and NSGs in product-specific patterns.",new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/how-to-block-network-traffic-portal,Block network traffic - Portal,How to block network traffic with Azure Virtual Network Manager - Azure portal,Block RDP traffic with AVNM security admin rules,Learn how to block network traffic using security rules in Azure Virtual Network Manager with the Azure portal.,"This article shows you how to create a security admin rule to block inbound network traffic on RDP port 3389 that you can add to a rule collection. For more information, seeSecurity admin rules.",2024-06-10T22:06:00.000Z,how-to,security,0.65,True,Shows creating a rule to block inbound traffic on port 3389; product-specific security rule configuration and port usage details.,new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/how-to-block-network-traffic-powershell,Block network traffic -PowerShell,How to block network traffic with Azure Virtual Network Manager - Azure PowerShell,Block web traffic with AVNM security rules via PowerShell,Learn how to block network traffic using security rules in Azure Virtual Network Manager with the Azure PowerShell.,"This article shows you how to create a security rule to block outbound network traffic to port 80 and 443 that you can add to your rule collections. For more information, seeSecurity admin rules.",2024-06-10T22:06:00.000Z,how-to,security,0.65,True,Demonstrates creating rules to block outbound traffic on ports 80 and 443 using PowerShell; includes security configuration parameters and patterns.,new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/how-to-configure-cross-tenant-cli,Configure cross-tenant connections - CLI,Configure a cross-tenant connection in Azure Virtual Network Manager Preview - CLI,Configure AVNM cross-tenant connections using CLI,Learn how to connect Azure subscriptions in Azure Virtual Network Manager by using cross-tenant connections for the management of virtual networks across subscriptions.,"In this article, you'll learn how to createcross-tenant connectionsin Azure Virtual Network Manager by using theAzure CLI. Cross-tenant support allows organizations to use a central network manager for managing virtual networks across tenants and subscriptions. First, you'll create the scope connection on the central network manager. Then, you'll create the network manager connection on the connecting tenant and verify the connection. Last, you'll add virtual networks from different tenants and ",2024-10-15T08:00:00.000Z,how-to,configuration,0.6,True,CLI-based configuration of cross-tenant connections; includes command parameters and required values unique to AVNM.,new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/how-to-configure-cross-tenant-portal,Configure cross-tenant connections - Portal,Configure Cross-Tenant Connections in Azure Virtual Network Manager,Configure AVNM cross-tenant connections in the portal,Learn how to create cross-tenant connections in Azure Virtual Network Manager to manage virtual networks across tenants. Centralize network management and get started today.,"This article explains how to createcross-tenant connectionsin Azure Virtual Network Manager using the Azure portal. Cross-tenant connections let you centrally manage virtual networks across different tenants and their subscriptions, streamlining network management and policy enforcement. First, create the cross-tenant connection from the network manager. Then, create the cross-tenant connection from the target tenant and verify the connection. Finally, add virtual networks from the target tenant",2025-07-13T05:09:00.000Z,how-to,configuration,0.6,True,"How-to for cross-tenant connections; likely includes specific setting names, scopes, and required parameters for configuration, which are product-specific.",new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/how-to-configure-event-logs,Configure Event Logs for Azure Virtual Network Manager,Configure event logs for Azure Virtual Network Manager,Configure Azure Virtual Network Manager event logs,This article describes how to configure and view event logs for Azure Virtual Network Manager. This includes how to access event logs in a Log Analytics workspace and a storage account.,"When configurations are changed in Azure Virtual Network Manager, this can affect virtual networks that are associated with network groups in your instance. With Azure Monitor, you can monitor Azure Virtual Network Manager for virtual network changes. In this article, you learn how to monitor Azure Virtual Network Manager for virtual network changes with Log Analytics or a storage account.",2024-12-12T05:33:00.000Z,how-to,configuration,0.65,True,"How-to for configuring event logs with Azure Monitor, Log Analytics, and storage; likely includes specific diagnostic settings and categories, fitting configuration.",new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/how-to-create-hub-and-spoke,Azure portal,Create a hub-and-spoke topology in Azure - Portal,,Learn how to create a hub-and-spoke network topology for multiple virtual networks with Azure Virtual Network Manager using the Azure portal.,"In this article, you learn how to create a hub-and-spoke topology with Azure Virtual Network Manager. With this configuration, you select a virtual network to act as a hub and all spoke virtual networks have bi-directional peering with only the hub by default. You also can enable direct connectivity between spoke virtual networks in the same spoke network group and enable the spoke virtual networks to use the gateway in the hub virtual network.",2025-08-05T22:11:00.000Z,how-to,,0.45,False,"How-to for hub-and-spoke via portal; scenario-specific steps, not a general configuration reference or limits table.",new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/how-to-create-hub-and-spoke-powershell,Azure PowerShell,Create a hub and spoke topology in Azure - PowerShell,,Learn how to create a hub and spoke network topology for multiple virtual networks with Azure Virtual Network Manager using Azure PowerShell.,"In this article, you'll learn how to create a hub and spoke network topology with Azure Virtual Network Manager. With this configuration, you select a virtual network to act as a hub and all spoke virtual networks will have bi-directional peering with only the hub by default. You also can enable direct connectivity between spoke virtual networks and enable the spoke virtual networks to use the virtual network gateway in the hub.",2025-08-05T22:11:00.000Z,how-to,,0.45,False,PowerShell how-to for hub-and-spoke; focused on one topology rather than enumerating configuration options or constraints.,new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/how-to-create-mesh-network,Azure portal,Create a mesh network topology with Azure Virtual Network Manager,,Learn how to create a mesh network topology with Azure Virtual Network Manager.,"In this article, you learn how to create a mesh topology using Azure Virtual Network Manager. With this configuration, all the virtual networks of the same region in the network groups included in this configuration can communicate with one another. You can enable cross-region connectivity by enabling theglobal meshsetting in the connectivity configuration.",2025-07-13T05:09:00.000Z,how-to,,0.45,False,"How-to for mesh topology; describes enabling global mesh but as a single scenario, not a full configuration catalog.",new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/how-to-create-mesh-network-powershell,Azure PowerShell,Create a mesh network topology with Azure Virtual Network Manager - Azure PowerShell,,Learn how to create a mesh network topology with Azure Virtual Network Manager using Azure PowerShell.,"In this article, you'll learn how to create a mesh network topology with Azure Virtual Network Manager using Azure PowerShell. With this configuration, all the virtual networks of the same region in the same network group can communicate with one another. You can enable cross region connectivity by enabling the global mesh setting in the connectivity configuration.",2024-06-10T22:06:00.000Z,how-to,,0.45,False,"PowerShell mesh topology how-to; example-focused, not a comprehensive configuration or limits reference.",new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/how-to-create-security-admin-rule-network-group,Using network groups as source and destination,Create a security admin rule using network groups - Azure Virtual Network Manager,Create AVNM security admin rules using network groups,Learn how to deploy security admin rules using network groups as the source and destination in Azure Virtual Network Manager.,"In this article, you learn how to create a security admin rule using network groups in Azure Virtual Network Manager. You use the Azure portal to create a security admin configuration, add a security admin rule, and deploy the security admin configuration. In Azure Virtual Network Manager, you can deploysecurity admin rulesusingnetwork groups. Security admin rules and network groups allow you to define the source and destination of the traffic for the security admin rule. Important The creation ",2024-04-18T05:43:00.000Z,how-to,security,0.7,True,"Portal how-to for security admin rules with network groups; includes rule configuration fields, collections, and deployment specifics unique to AVNM security.",new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/how-to-create-user-defined-route,Create user-defined routes (UDRs),Create User-Defined Routes with Azure Virtual Network Manager,Configure user-defined routes with AVNM in the portal,Learn how to deploy User-Defined Routes (UDRs) with Azure Virtual Network Manager using the Azure portal.,"In this article, you learn how to deployUser-Defined Routes (UDRs)with Azure Virtual Network Manager in the Azure portal. UDRs allow you to describe your desired routing behavior, and Virtual Network Manager orchestrates UDRs to create and maintain that behavior. You deploy all the resources needed to create UDRs in an existing network manager instance including a network group, routing configuration, and rule collection.",2025-12-18T06:10:00.000Z,how-to,configuration,0.65,True,"How-to for deploying UDRs via AVNM; includes routing configuration, rule collections, and resource relationships that are product-specific configuration details.",new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/how-to-define-network-group-membership-azure-policy,Define dynamic network group membership with Azure Policy,Define dynamic network group membership in Azure Virtual Network Manager with Azure Policy,Define dynamic AVNM network groups with Azure Policy,This article explains how to use Azure Policy to create network groups with dynamic membership in Azure Virtual Network Manager.,"In this article, you learn how to use Azure Policy conditional statements to create network groups with dynamic membership. You create these conditional statements using the basic editor by selecting parameters and operators from a drop-down menu. Also, you learn how to use the advanced editor to update conditional statements of an existing network group. Azure Policyis a service to enable you to enforce per-resource governance at scale. It can be used to specify conditional expressions that def",2024-06-10T22:06:00.000Z,how-to,configuration,0.7,True,Shows how to build conditional expressions and parameters in Azure Policy for AVNM dynamic membership; includes product-specific configuration fields and values.,new
https://learn.microsoft.com/en-us/azure/virtual-network-manager/how-to-deploy-hub-spoke-topology-with-azure-firewall,Deploy hub and spoke topology with Azure Firewall,How to deploy hub and spoke topology with Azure Firewall,,Learn how to deploy a hub and spoke topology with Azure Firewall using Virtual Network Manager.,"In this article, you learn how to deploy a hub-and-spoke topology with Azure Firewall using Azure Virtual Network Manager. You create an Azure Virtual Network Manager instance, or network manager, and implement network groups for trusted and untrusted traffic. Next, you deploy a connectivity configuration that defines your hub-and-spoke topology. When deploying the connectivity configuration, you have a choice of addingdirect connectivityfor trusted communication between spoke virtual networks, ",2025-07-11T08:00:00.000Z,how-to,,0.45,False,"How-to deploying hub-and-spoke with Azure Firewall; scenario guidance, not structured limits, config tables, or troubleshooting mappings.",new
